INDICATOR_ID,continent,country_name,country_code
26421,Africa,Algeria,DZA
26422,Africa,Angola,AGO
26423,Africa,Benin,BEN
26424,Africa,Botswana,BWA
26425,Africa,Burkina Faso,BFA
26426,Africa,Burundi,BDI
26427,Africa,Cameroon,CMR
26428,Africa,Cape Verde,CPV
26429,Africa,Central African Republic,CAF
26430,Africa,Chad,TCD
26431,Africa,Comoros,COM
26432,Africa,Congo,COG
26433,Africa,Côte d'Ivoire,CIV
26434,Africa,DR Congo,COD
26435,Africa,Djibouti,DJI
26436,Africa,Egypt,EGY
26437,Africa,Equatorial Guinea,GNQ
26438,Africa,Eritrea,ERI
26439,Africa,Ethiopia,ETH
26440,Africa,Gabon,GAB
26441,Africa,Gambia,GMB
26442,Africa,Ghana,GHA
26443,Africa,Guinea,GIN
26444,Africa,Guinea-Bissau,GNB
26445,Africa,Kenya,KEN
26446,Africa,Lesotho,LSO
26447,Africa,Liberia,LBR
26448,Africa,Libya,LBY
26449,Africa,Madagascar,MDG
26450,Africa,Malawi,MWI
26451,Africa,Mali,MLI
26452,Africa,Mauritania,MRT
26453,Africa,Mauritius,MUS
26454,Africa,Morocco,MAR
26455,Africa,Mozambique,MOZ
26456,Africa,Namibia,"NAM"
26457,Africa,Niger,NER
26458,Africa,Nigeria,NGA
26459,Africa,Rwanda,RWA
26460,Africa,Sao Tome and Principe,STP
26461,Africa,Senegal,SEN
26462,Africa,Seychelles,SYC
26463,Africa,Sierra Leone,SLE
26464,Africa,Somalia,SOM
26465,Africa,South Africa,ZAF
26466,Africa,Sudan (pre-secession),XDN
26467,Africa,Eswatini,SWZ
26468,Africa,Togo,TGO
26469,Africa,Tunisia,TUN
26470,Africa,Uganda,UGA
26471,Africa,Tanzania,TZA
26472,Africa,Zambia,ZMB
26473,Africa,Zimbabwe,ZWE
26474,Africa,unknown countries,NA
26476,Caribbean and Central America,Antigua and Barbuda,ATG
26477,Caribbean and Central America,Aruba,ABW
26478,Caribbean and Central America,Bahamas,BHS
26479,Caribbean and Central America,Barbados,BRB
26480,Caribbean and Central America,Belize,BLZ
26481,North America,Bermuda,BMU
26482,Caribbean and Central America,British Virgin Islands,VGB
26483,North America,Canada,CAN
26484,Caribbean and Central America,Costa Rica,CRI
26485,Caribbean and Central America,Cuba,CUB
26486,Caribbean and Central America,Dominica,DMA
26487,Caribbean and Central America,Dominican Republic,DOM
26488,Caribbean and Central America,El Salvador,SLV
26489,Caribbean and Central America,Grenada,GRD
26490,Caribbean and Central America,Guatemala,GTM
26491,Caribbean and Central America,Haiti,HTI
