origin_country_name,dest_country_name,qualifier
Afghanistan,Canada,"NAT_EST"
Afghanistan,Côte d'Ivoire,"NAT_EST"
Afghanistan,Israel,UIS_EST
Afghanistan,Poland,"NAT_EST"
Afghanistan,Poland,UIS_EST
Africa: unknown countries,Burundi,UIS_EST
Africa: unknown countries,Canada,"NAT_EST"
Africa: unknown countries,Côte d'Ivoire,"NAT_EST"
Africa: unknown countries,Israel,UIS_EST
Africa: unknown countries,Poland,"NAT_EST"
Africa: unknown countries,Poland,UIS_EST
Africa: unknown countries,South Africa,UIS_EST
Albania,Canada,"NAT_EST"
Albania,Côte d'Ivoire,"NAT_EST"
Albania,Israel,UIS_EST
Albania,Poland,"NAT_EST"
Albania,Poland,UIS_EST
Algeria,Canada,"NAT_EST"
Algeria,Côte d'Ivoire,"NAT_EST"
Algeria,Israel,UIS_EST
Algeria,Poland,"NAT_EST"
Algeria,Poland,UIS_EST
Algeria,South Africa,UIS_EST
Andorra,Canada,"NAT_EST"
Andorra,Côte d'Ivoire,"NAT_EST"
Andorra,Israel,UIS_EST
Andorra,Poland,"NAT_EST"
Andorra,Poland,UIS_EST
Angola,Canada,"NAT_EST"
Angola,Côte d'Ivoire,"NAT_EST"
Angola,Israel,UIS_EST
Angola,Poland,"NAT_EST"
Angola,Poland,UIS_EST
Angola,South Africa,UIS_EST
Anguilla,Canada,"NAT_EST"
Anguilla,Côte d'Ivoire,"NAT_EST"
Anguilla,Israel,UIS_EST
Anguilla,Poland,"NAT_EST"
Anguilla,Poland,UIS_EST
Antigua and Barbuda,Canada,"NAT_EST"
Antigua and Barbuda,Côte d'Ivoire,"NAT_EST"
Antigua and Barbuda,Israel,UIS_EST
Antigua and Barbuda,Poland,"NAT_EST"
Antigua and Barbuda,Poland,UIS_EST
Argentina,Canada,"NAT_EST"
Argentina,Côte d'Ivoire,"NAT_EST"
Argentina,Israel,UIS_EST
Argentina,Poland,"NAT_EST"
Argentina,Poland,UIS_EST
Armenia,Canada,"NAT_EST"
Armenia,Côte d'Ivoire,"NAT_EST"
Armenia,Israel,UIS_EST
Armenia,Poland,"NAT_EST"
Armenia,Poland,UIS_EST
Aruba,Canada,"NAT_EST"
Aruba,Côte d'Ivoire,"NAT_EST"
Aruba,Israel,UIS_EST
Aruba,Poland,"NAT_EST"
Aruba,Poland,UIS_EST
Asia: unknown countries,Canada,"NAT_EST"
Asia: unknown countries,Côte d'Ivoire,"NAT_EST"
Asia: unknown countries,Israel,UIS_EST
Asia: unknown countries,Poland,"NAT_EST"
Asia: unknown countries,Poland,UIS_EST
Australia,Canada,"NAT_EST"
Australia,Côte d'Ivoire,"NAT_EST"
Australia,Israel,UIS_EST
Australia,Poland,"NAT_EST"
Australia,Poland,UIS_EST
Austria,Canada,"NAT_EST"
Austria,Côte d'Ivoire,"NAT_EST"
Austria,Israel,UIS_EST
Austria,Poland,"NAT_EST"
Austria,Poland,UIS_EST
Azerbaijan,Canada,"NAT_EST"
Azerbaijan,Côte d'Ivoire,"NAT_EST"
Azerbaijan,Israel,UIS_EST
Azerbaijan,Poland,"NAT_EST"
Azerbaijan,Poland,UIS_EST
Bahamas,Canada,"NAT_EST"
Bahamas,Côte d'Ivoire,"NAT_EST"
Bahamas,Israel,UIS_EST
Bahamas,Poland,"NAT_EST"
Bahamas,Poland,UIS_EST
Bahrain,Canada,"NAT_EST"
Bahrain,Côte d'Ivoire,"NAT_EST"
Bahrain,Israel,UIS_EST
Bahrain,Poland,"NAT_EST"
Bahrain,Poland,UIS_EST
Bangladesh,Canada,"NAT_EST"
Bangladesh,Côte d'Ivoire,"NAT_EST"
Bangladesh,Israel,UIS_EST
Bangladesh,Poland,"NAT_EST"
Bangladesh,Poland,UIS_EST
Barbados,Canada,"NAT_EST"
Barbados,Côte d'Ivoire,"NAT_EST"
Barbados,Israel,UIS_EST
Barbados,Poland,"NAT_EST"
Barbados,Poland,UIS_EST
Belarus,Canada,"NAT_EST"
Belarus,Côte d'Ivoire,"NAT_EST"
Belarus,Israel,UIS_EST
Belarus,Poland,"NAT_EST"
Belarus,Poland,UIS_EST
Belgium,Canada,"NAT_EST"
Belgium,Côte d'Ivoire,"NAT_EST"
