year,countryA,countryB,value_toA,value_toB,magnitude_toA,magnitude_toB,qualifier_toA,qualifier_toB,netflow,net_destination
1998,ISL,OMN,0,NA,NIL,NA,NA,NA,NA,NA
1998,EGY,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,ARG,LBY,0,NA,NIL,NA,NA,NA,NA,NA
1998,BGR,POL,NA,107,NA,NA,NA,NA,NA,NA
1998,PHL,TUR,NA,1,NA,NA,NA,NA,NA,NA
1998,NLD,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,HUN,SOM,1,NA,NA,NA,NA,NA,NA,NA
1998,PRY,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,COK,MDV,0,0,NA,NA,NA,NA,0,COK
1998,BEN,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,AIA,TON,0,NA,NA,NA,NA,NA,NA,NA
1998,AIA,ITA,0,NA,NA,NA,NA,NA,NA,NA
1998,BRA,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,SLB,TUV,NA,0,NA,NA,NA,NA,NA,NA
1998,CUB,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,MYS,SLV,0,0,NIL,NIL,NA,NA,0,MYS
1998,MDA,MDV,NA,0,NA,NA,NA,NA,NA,NA
1998,COK,PNG,0,19,NA,NA,NA,NA,19,PNG
1998,ARG,DMA,0,NA,NIL,NA,NA,NA,NA,NA
1998,COK,IDN,0,NA,NA,NA,NA,NA,NA,NA
1998,CAN,SAU,399,NA,NA,NA,NAT_EST,NA,NA,NA
1998,FIN,HUN,70,17,NA,NA,NA,NA,53,FIN
1998,AUS,TKM,0,NA,NIL,NA,NA,NA,NA,NA
1998,BGD,ZAF,NA,0,NA,NIL,NA,NA,NA,NA
1998,KEN,WSM,NA,0,NA,NIL,NA,NA,NA,NA
1998,MEX,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,RWA,SYC,NA,0,NA,NA,NA,NA,NA,NA
1998,BOL,ISR,0,NA,NIL,NA,NA,NA,NA,NA
1998,AIA,ECU,0,NA,NA,NA,NA,NA,NA,NA
1998,NRU,STP,0,0,NA,NA,NA,NA,0,NRU
1998,COM,ISL,NA,0,NA,NIL,NA,NA,NA,NA
1998,CYP,FIN,NA,2,NA,NA,NA,NA,NA,NA
1998,NIU,STP,0,0,NA,NA,NA,NA,0,NIU
1998,IRN,SLV,NA,5,NA,NA,NA,NA,NA,NA
1998,BDI,TUR,NA,0,NA,NIL,NA,NA,NA,NA
1998,BGD,COK,NA,0,NA,NA,NA,NA,NA,NA
1998,TON,TON,0,NA,NA,NA,NA,NA,NA,NA
1998,JOR,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,CAN,TCD,51,NA,NA,NA,NAT_EST,NA,NA,NA
1998,COK,UGA,0,NA,NA,NA,NA,NA,NA,NA
1998,ARG,GAB,0,NA,NIL,NA,NA,NA,NA,NA
